"",Reporting precincts,Total Precincts,Grassley,Judge,Aldrich,Hennager,Luick-Thrams,Write-in,winner
Adair,1,6,940,420,29,18,3,0
Adams,0,6,0,0,0,0,0,0
Allamakee,0,12,0,0,0,0,0,0
Appanoose,0,13,0,0,0,0,0,0
Audubon,0,3,0,0,0,0,0,0
Benton,0,20,0,0,0,0,0,0
Black Hawk,0,63,0,0,0,0,0,0
Boone,0,16,0,0,0,0,0,0
Bremer,0,14,0,0,0,0,0,0
Buchanan,0,16,0,0,0,0,0,0
Buena Vista,0,11,0,0,0,0,0,0
Butler,0,9,0,0,0,0,0,0
Calhoun,0,11,0,0,0,0,0,0
Carroll,0,14,0,0,0,0,0,0
Cass,0,14,0,0,0,0,0,0
Cedar,0,13,0,0,0,0,0,0
Cerro Gordo,1,27,4507,4255,153,92,65,7
Cherokee,0,8,0,0,0,0,0,0
Chickasaw,0,14,0,0,0,0,0,0
Clarke,0,8,0,0,0,0,0,0
Clay,1,13,2679,1060,84,17,8,0
Clayton,1,15,1869,1168,57,48,5,0
Clinton,0,27,0,0,0,0,0,0
Crawford,0,9,0,0,0,0,0,0
Dallas,0,35,0,0,0,0,0,0
Davis,0,9,0,0,0,0,0,0
Decatur,0,8,0,0,0,0,0,0
Delaware,0,13,0,0,0,0,0,0
Des Moines,0,17,0,0,0,0,0,0
Dickinson,0,15,0,0,0,0,0,0
Dubuque,0,36,0,0,0,0,0,0
Emmet,0,12,0,0,0,0,0,0
Fayette,0,26,0,0,0,0,0,0
Floyd,0,9,0,0,0,0,0,0
Franklin,1,13,1110,468,43,13,6,0
Fremont,0,6,0,0,0,0,0,0
Greene,0,8,0,0,0,0,0,0
Grundy,0,8,0,0,0,0,0,0
Guthrie,0,9,0,0,0,0,0,0
Hamilton,0,9,0,0,0,0,0,0
Hancock,0,11,0,0,0,0,0,0
Hardin,0,9,0,0,0,0,0,0
Harrison,0,14,0,0,0,0,0,0
Henry,0,10,0,0,0,0,0,0
Howard,0,10,0,0,0,0,0,0
Humboldt,0,10,0,0,0,0,0,0
Ida,0,8,0,0,0,0,0,0
Iowa,0,12,0,0,0,0,0,0
Jackson,0,17,0,0,0,0,0,0
Jasper,0,21,0,0,0,0,0,0
Jefferson,0,13,0,0,0,0,0,0
Johnson,1,58,11545,27412,679,342,193,55
Jones,0,15,0,0,0,0,0,0
Keokuk,1,16,545,255,10,9,5,1
Kossuth,0,21,0,0,0,0,0,0
Lee,0,23,0,0,0,0,0,0
Linn,0,87,0,0,0,0,0,0
Louisa,1,6,1087,645,43,12,5,0
Lucas,0,8,0,0,0,0,0,0
Lyon,0,9,0,0,0,0,0,0
Madison,0,10,0,0,0,0,0,0
Mahaska,0,12,0,0,0,0,0,0
Marion,0,18,0,0,0,0,0,0
Marshall,0,20,0,0,0,0,0,0
Mills,0,12,0,0,0,0,0,0
Mitchell,0,12,0,0,0,0,0,0
Monona,0,12,0,0,0,0,0,0
Monroe,0,8,0,0,0,0,0,0
Montgomery,0,8,0,0,0,0,0,0
Muscatine,0,24,0,0,0,0,0,0
O'Brien,0,10,0,0,0,0,0,0
Osceola,0,9,0,0,0,0,0,0
Page,0,9,0,0,0,0,0,0
Palo Alto,1,7,1442,581,24,28,2,0
Plymouth,1,14,3825,1149,63,24,8,2
Pocahontas,0,8,0,0,0,0,0,0
Polk,0,178,0,0,0,0,0,0
Pottawattamie,0,41,0,0,0,0,0,0
Poweshiek,0,11,0,0,0,0,0,0
Ringgold,0,8,0,0,0,0,0,0
Sac,0,10,0,0,0,0,0,0
Scott,0,64,0,0,0,0,0,0
Shelby,0,10,0,0,0,0,0,0
Sioux,0,17,0,0,0,0,0,0
Story,0,44,0,0,0,0,0,0
Tama,0,17,0,0,0,0,0,0
Taylor,1,8,658,200,21,9,3,0
Union,0,9,0,0,0,0,0,0
Van Buren,0,9,0,0,0,0,0,0
Wapello,0,23,0,0,0,0,0,0
Warren,0,32,0,0,0,0,0,0
Washington,0,11,0,0,0,0,0,0
Wayne,0,5,0,0,0,0,0,0
Webster,0,29,0,0,0,0,0,0
Winnebago,0,11,0,0,0,0,0,0
Winneshiek,0,12,0,0,0,0,0,0
Woodbury,0,45,0,0,0,0,0,0
Worth,0,8,0,0,0,0,0,0
Wright,0,11,0,0,0,0,0,0
